,Variable #,Question #,Variable Name,Source Variables,Description,Type,Location,Length
593,2,VSL.0020.00.3,VSLVDYS_A,,Duration of voice problem,Num,703,1
594,3,VSL.0030.00.3,VSLVDIF_A,,Amount of difficulty with voice problem,Num,704,1
595,4,VSL.0040.00.3,VSLSWYR_A,,Swallowing problem in the past 12m,Num,705,1
596,5,VSL.0050.00.3,VSLSWDYS_A,,Duration of swallowing problem,Num,706,1
597,6,VSL.0060.00.3,VSLSWDIF_A,,Amount of difficulty with swallowing problem,Num,707,1
598,7,VSL.0070.00.3,VSLSPYR_A,,Speech problem in the past 12m,Num,708,1
599,8,VSL.0080.00.3,VSLSPDYS_A,,Duration of speech problem,Num,709,1
600,9,VSL.0090.00.3,VSLSPDIF_A,,Amount of difficulty with speech problem,Num,710,1
601,10,VSL.0100.00.3,VSLSPST_A,,Stuttering problem in the past 12m,Num,711,1
602,11,VSL.0110.00.3,VSLLGYR_A,,Language problem in the past 12m,Num,712,1
603,12,VSL.0120.00.3,VSLLGDYS_A,,Duration of language problem,Num,713,1
604,13,VSL.0130.00.3,VSLLGDIF_A,,Amount of difficulty with language problem,Num,714,1
605,14,VSL.0140.00.3,VSLBRAIN_A,,VSL problems following a brain injury or stroke,Num,715,1
606,15,VSL.0150.00.3,VSLPA_A,,Saw a doctor for treatment in the past 12m,Num,716,1
607,16,VSL.0160.00.3,VSLPALF_A,,"Seeing a doctor for treatment in the past 12m affectedlife",Num,717,1
608,17,VSL.0170.00.3,VSLBTWR_A,,VSL problem better or worse,Num,718,1
610,1,ORN.0020.00.1,ORIENT_A,,Sexual orientation,Num,719,1
612,1,MAR.0010.00.1,MARITAL_A,,Sample adult's current marital status,Num,720,1
613,2,MAR.0020.00.1,SPOUSLIV_A,,Sample adult's spouse lives here,Num,721,1
614,3,MAR.0060.00.1,SPOUSEP_A,,"Sample adult's spouse does not reside here due to legalseparation",Num,722,1
615,4,MAR.0100.00.1,EVRMARRIED_A,,Sample adult has ever been married,Num,723,1
616,5,Recode,MARSTAT_A,"MARITAL_A;SPOUSLIV_A;EVRMARRIED_A;WIDIVSEP_A",Current marital status of sample adult,Num,724,1
617,6,Recode,LEGMSTAT_A,"MARSTAT_A;LEGALSTAT_A",Legal marital status of sample adult,Num,725,1
618,7,Recode,SPOUSESEX_A,"SPOUSSEX_A;SPOUNEWSEX_A;SEX_FINAL",Sex of sample adult's spouse,Num,726,1
619,8,Recode,SASPPRACE_A,"SPOUSRACE_A;PRTNRRACE_A",Race of sample adult and spouse or partner are the same,Num,727,1
620,9,Recode,SASPPHISP_A,"SPOUSHISP_A;PRTNRHISP_A","Hispanic ethnicity of sample adult and spouse or partnerare the same",Num,728,1
621,10,Recode,SPOUSAGETC_A,AGE_FINAL,"Age of sample adult's spouse, top-coded",Num,729 - 730,2
622,11,Recode,SPOUSEDUCP_A,EDUC,Education level of sample adult's spouse,Num,731 - 732,2
623,12,Recode,SPOUSWRK_A,FEMWORK_A; FEMWORK_C,Working status of sample adult's spouse,Num,733,1
624,13,Recode,SPOUSWKFT_A,"SPOUSWRK_A;FEMWKFT_A; FEMWKFT_C",Sample adult's spouse is working full-time,Num,734,1
625,14,Recode,PRTNRSEX_A,"SEX_FINAL;PARTNERSEX_A;PARTNEWSEX_A",Sex of the sample adult's partner,Num,735,1
626,15,Recode,PRTNRAGETC_A,AGE_FINAL,"Age of sample adult's partner, top-coded",Num,736 - 737,2
627,16,Recode,PRTNREDUCP_A,EDUC,Education level of sample adult's partner,Num,738 - 739,2
628,17,Recode,PRTNRWRK_A,FEMWORK_A; FEMWORK_C,Working status of sample adult's partner,Num,740,1
629,18,Recode,PRTNRWKFT_A,FEMWKFT_A; FEMWKFT_C,Sample adult's partner is working full-time,Num,741,1
630,19,Recode,SAPARENTSC_A,"SAMEFAM_FLG;PARENTS_FINAL01-PARENTS_FINAL04",Sample adult relationship to sample child,Num,742,1
631,20,Recode,PARSTAT_A,"PARENTS_FINAL01-PARENTS_FINAL04",Parental Status of sample adult,Num,743,1
633,1,VET.0010.00.1,AFVET_A,,Ever serve active duty military,Num,744,1
634,2,VET.0020.00.1,AFVETTRN_A,,Reserves or National Guard,Num,745,1
635,3,VET.0030.00.1,COMBAT_A,,Ever served abroad during armed conflict,Num,746,1
636,4,VET.0040.00.1,VADISB_A,,Have VA disability rating,Num,747,1
637,5,VET.0050.00.1,VAHOSP_A,,Receive care at VA facility,Num,748,1
638,6,VET.0060.00.1,VACAREEV_A,,Ever use VA health care,Num,749,1
640,1,NAT.0010.00.1,NATUSBORN_A,,Born in U.S. or U.S. territory,Num,750,1
641,2,Recode,YRSINUS_A,"NATUSBORN_A;NATUSLG_A",Years that sample adult has been in the United States,Num,751,1
642,3,,CITZNSTP_A,"NATUSBORN_A;CITIZEN_A; NATCTZN_A",Citizenship status,Num,752,1
644,1,SCH.0010.00.1,SCHCURENR_A,,Currently in school,Num,753,1
645,2,Recode,SCHDYMSSTC_A,SCHDYSMSS_A,"Days of school missed  due to illness/injury past 12months, top-coded",Num,754 - 755,2
647,1,EMP.0010.00.1,EMPLASTWK_A,,Worked for pay last week,Num,756,1
648,2,EMP.0020.00.1,EMPNOWRK_A,,Temporarily absent from work last week,Num,757,1
649,3,EMP.0030.00.1,EMPWHYNOT_A,,Main reason not working,Num,758 - 759,2
650,4,EMP.0040.00.1,EMPWHENWRK_A,,Last time worked,Num,760,1
651,5,Recode,EMPWRKLSW1_A,"EMPLASTWK_A;EMPNOWRK_A;EMPWHYNOT_A;EMPWHENWRK_A;FEMWORK_A; FEMWORK_C",Worked last week,Num,761,1
652,6,Recode,EMPLSTWOR1_A,"EMPWHENWRK_A;EMPWHYNOT_A",Last time worked for pay,Num,762,1
653,7,Recode,EMPWKHRS3_A,EMPHOURS_A,Hours worked per week (topcoded for Public Use),Num,763 - 764,2
654,8,Recode,EMPWRKFT1_A,"EMPLASTWK_A;EMPFULLTIM_A;EMPHOURS_A;FEMWKFT_A; FEMWKFT_C",Usually work 35+ hours per week,Num,765,1
655,9,EMP.0070.00.1,EMPSICKLV_A,,Paid sick leave,Num,766,1
656,10,EMP.0080.00.1,EMPHEALINS_A,,Health insurance offered,Num,767,1
657,11,Recode,EMPDYSMSS3_A,EMPDAYMISS_A,"Days missed work, past 12 months (top-coded)",Num,768 - 770,3
659,1,VOL.0010.00.4,CEVOLUN1_A,,Volunteer for organization or association,Num,771,1
660,2,VOL.0020.00.4,CEVOLUN2_A,,Other volunteer activities,Num,772,1
662,1,Recode,PCNTADTWKP_A,"EMPWRKLSW1_A;FEMWORK_A;FEMWORK_C;FAMILYA_FLG","Number of adults in sample adult's family who areworking",Num,773,1
663,2,Recode,PCNTADTWFP_A,"EMPWRKFT1_A;FEMWKFT_A;FEMWKFT_C;FAMILYA_FLG","Number of adults in sample adult's family who areworking full-time",Num,774,1
665,1,INC.0020.00.1,INCWRKO_A,,Income from wages,Num,775,1
666,2,INC.0030.00.1,INCINTER_A,,Income from accounts,Num,776,1
667,3,INC.0040.00.1,INCSSRR_A,,Income from SS/Railroad Retirement,Num,777,1
668,4,INC.0050.00.1,INCSSISSDI_A,,Family income from SSDI,Num,778,1
669,5,INC.0060.00.1,SSISSDIBTH_A,,Which family income SSI/SSDI,Num,779,1
670,6,INC.0070.00.1,SSISSDIDSB_A,,SSI/SSDI due to disability,Num,780,1
671,7,INC.0100.00.1,INCWELF_A,,Income from public assistance,Num,781,1
672,8,INC.0110.00.1,INCRETIRE_A,,Income from retirement,Num,782,1
673,9,INC.0120.00.1,INCOTHR_A,,Income from other sources,Num,783,1
674,10,Recode,IMPNUM_A,,Imputation num,Num,784 - 785,2
675,11,Recode,POVRATTC_A,INCTOTAL_A,SA family poverty ratio (top-coded),Num,786 - 790,5
676,12,Recode,RATCAT_A,"INCTOTAL_A PCNT_AINC100FILL_AINC250FILL_AINC138FILL_AINC75K_A INC100K_AINC138K_A INC150K_AINC250K_A INC400K_AINC100PCT_AINC138PCT_AINC200PCT_AINC250PCT_AINC400PCT_A","Ratio of family income to poverty threshold for SA'sfamily",Num,791 - 792,2
677,13,Recode,IMPINCFLG_A,,Imputed SA family income imputation flag,Num,793,1
678,14,Recode,INCTCFLG_A,,Sample adult family income top-code flag,Num,794,1
680,1,FOO.0010.00.1,FSNAP12M_A,,"Receive food stamps, past 12m",Num,795,1
681,2,FOO.0020.00.3,FSNAP30D_A,,"Receive food stamps, past 30d",Num,796,1
682,3,FOO.0030.00.1,FWIC12M_A,,"Receive WIC benefits, past 12m",Num,797,1
683,4,FOO.0040.00.1,FLUNCH12M_A,,Receive free/reduced meals at school,Num,798,1
685,1,FDS.0020.00.3,FDSRUNOUT_A,,Worry food would run out,Num,799,1
686,2,FDS.0030.00.3,FDSLAST_A,,Food didn't last,Num,800,1
687,3,FDS.0040.00.3,FDSBALANCE_A,,Couldn't afford to eat balanced meals,Num,801,1
688,4,FDS.0050.00.3,FDSSKIP_A,,Cut the size of meals or skip meals,Num,802,1
689,5,FDS.0060.00.3,FDSSKIPDYS_A,,"How many days did you/adults in the family cut the sizeof meals or skip meals",Num,803 - 804,2
690,6,FDS.0070.00.3,FDSLESS_A,,Eat less than should,Num,805,1
691,7,FDS.0080.00.3,FDSHUNGRY_A,,Ever hungry because not enough money for food,Num,806,1
692,8,FDS.0090.00.3,FDSWEIGHT_A,,Lose weight because not enough money for food,Num,807,1
693,9,FDS.0100.00.3,FDSNOTEAT_A,,not eat for a whole day,Num,808,1
694,10,FDS.0110.00.3,FDSNEDAYS_A,,How many days not eat,Num,809 - 810,2
695,11,Recode,FDSCAT3_A,"FDSRUNOUT_A;FDSLAST_A;FDSBALANCE_A;FDSSKIP_A;FDSSKIPDYS_A;FDSLESS_A;FDSHUNGRY_A;FDSWEIGHT_A;FDSNOTEAT_A;FDSNEDAYS_A",Adult 3 category food security recode,Num,811,1
696,12,Recode,FDSCAT4_A,"FDSRUNOUT_A;FDSLAST_A;FDSBALANCE_A;FDSSKIP_A;FDSSKIPDYS_A;FDSLESS_A;FDSHUNGRY_A;FDSWEIGHT_A;FDSNOTEAT_A;FDSNEDAYS_A",Adult  4 category food security recode,Num,812,1
698,1,HOU.0010.00.1,HOUYRSLIV_A,,Length of time in house/apartment,Num,813,1
699,2,HOU.0020.00.1,HOUTENURE_A,,Residence owned/rented,Num,814,1
700,3,HOU.0030.00.1,HOUGVASST_A,,Paying lower rent,Num,815,1
702,1,TBH.0010.00.4,TRANSPOR_A,,"Delay care in the past 12 months because no reliabletransportation",Num,816,1
704,1,CIV.0010.00.4,CEMMETNG_A,,Attend public meeting,Num,817,1
705,2,CIV.0020.00.4,CEVOTELC_A,,Vote in last local elections,Num,818,1
